#identificador,nome,marca,anoLancamento,serie,socket
100
77,Pentium G6950,Intel,2010,1st Gen,LGA1156"
78,Athlon II X3 450,AMD,2010,Athlon II,Socket AM3"
79,Xeon W5580,Intel,2009,Xeon,LGA1366"
80,Phenom X4 9950,AMD,2008,Phenom,Socket AM2+"
81,Core 2 Quad Q9650,Intel,2008,Core 2 Quad,LGA775"
82,Phenom X3 8650,AMD,2008,Phenom,Socket AM2+"
83,Core 2 Duo E8500,Intel,2008,Core 2 Duo,LGA775"
84,Athlon X2 6000+,AMD,2007,Athlon,Socket AM2"
85,Pentium E2180,Intel,2007,Core 2 Duo,LGA775"
86,Opteron 2220,AMD,2008,2200 Series,Socket F"
87,Celeron 420,Intel,2006,Celeron,LGA775"
88,Sempron 145,AMD,2010,Sempron,Socket AM3"
89,Core 2 Extreme QX9650,Intel,2007,Core 2 Extreme,LGA775"
90,Athlon 64 X2 6000+,AMD,2007,Athlon,Socket AM2"
91,Pentium D 960,Intel,2006,Pentium D,LGA775"
92,Athlon 64 X2 5200+,AMD,2007,Athlon,Socket AM2"
93,Celeron D 356,Intel,2006,Celeron D,LGA775"
94,Sempron 3400+,AMD,2005,Sempron,Socket 754"
95,Pentium 4 3.6GHz,Intel,2005,Pentium 4,LGA775"
96,Athlon 64 4000+,AMD,2006,Athlon 64,Socket 939"
97,Celeron 2.8GHz,Intel,2002,Celeron,Socket 478"
98,Sempron 2600+,AMD,2004,Sempron,Socket A"
99,Pentium III 1.0GHz,Intel,1999,Pentium III,Slot 1"
